ProbeID	1 Avg_ctrl	1 Avg_treat	1 FoldChange	1 Rank_modT	1 Rank_WAD	1 RP_origPvalue	1 RP_correctedPvalue	1 Rank_RP	1 DEG	Homolog_GID
POPTR_0001s02190.1	20.14675117	49.02427911	2.433359041	53	499	4.00E-04	0.025157895	129	DEG	AT4G17770.1
POPTR_0010s19910.1	118.9862679	32.2295445	-3.691838334	576	127	1.00E-04	0.025157895	130	DEG	AT3G55830.1
POPTR_0003s21530.1	20.84778843	54.85272164	2.63110506	838	401	4.00E-04	0.024831169	128	DEG	AT3G13670.1
POPTR_0011s15220.1	143.679413	323.7985339	2.253618156	391	133	9.00E-04	0.036457627	214	DEG	AT2G45530.1
POPTR_0005s11100.1	54.36658497	230.9121013	4.247316646	338	31	0	0	2	DEG	AT4G35100.2
POPTR_0060s00250.1	106.5734196	241.3581904	2.264712827	1161	186	0.0015	0.045961538	302	DEG	AT4G27220.1
POPTR_0002s13100.1	35.74571607	14.93175559	-2.39393927	276	759	8.00E-04	0.040680851	259	DEG	AT1G47655.1
POPTR_0008s01950.1	324.1254403	98.551466	-3.288895167	10	48	1.00E-04	0.022761905	110	DEG	AT3G52060.1
POPTR_0017s14530.1	7.180356538	16.21291754	2.257954386	968	2077	0.0011	0.039533835	249	DEG	AT3G30390.2
POPTR_0019s00560.1	561.104264	1845.938311	3.289831194	158	11	1.00E-04	0.014484848	63	DEG	---
POPTR_0016s08790.1	60.49961916	26.35744505	-2.295352188	57	478	8.00E-04	0.040252632	257	DEG	AT5G03070.1
POPTR_0017s03500.1	16.91228865	105.3359551	6.228367861	3	58	0	0	8	DEG	AT3G21350.1
POPTR_0007s05160.1	424.8666404	155.8932841	-2.725368465	30	65	3.00E-04	0.029875	162	DEG	AT4G39980.1
POPTR_0010s01860.1	238.3606843	686.2397122	2.878997073	456	40	2.00E-04	0.019916667	90	DEG	AT3G21480.1
POPTR_0001s33670.1	17.61200956	6.46421248	-2.724540632	730	1665	5.00E-04	0.033194444	185	DEG	AT3G01930.2
POPTR_0008s17400.5	269.6664018	115.0776439	-2.343343092	816	166	0.0013	0.046721805	310	DEG	AT4G17740.1
POPTR_0012s07590.1	56.26592138	21.87133518	-2.572587404	139	393	4.00E-04	0.03083871	168	DEG	AT1G74850.1
POPTR_0003s09260.2	86.28042715	271.8117058	3.150328699	29	64	1.00E-04	0.013657143	60	DEG	AT5G52980.1
POPTR_0008s14550.1	5.484744861	32.32663136	5.89391707	195	446	0	0	9	DEG	AT1G24050.1
POPTR_0004s11210.1	21.46453761	9.187666235	-2.336233932	914	1402	0.0011	0.045327586	293	DEG	AT5G15730.2
POPTR_0017s08340.1	680.7406321	1340.100579	1.968592025	248	95	0.0018	0.048886364	330	DEG	AT5G15020.1
POPTR_0005s11670.1	442.738767	1091.786695	2.465983954	55	45	4.00E-04	0.024202532	123	DEG	AT5G66240.2
POPTR_0017s13730.1	267.8379532	85.36589433	-3.137528814	15	67	1.00E-04	0.019916667	91	DEG	AT4G12010.1
POPTR_0008s14760.1	15.47776297	38.13907088	2.464120361	886	629	5.00E-04	0.026263736	140	DEG	AT2G02860.1
POPTR_0009s12400.1	7.875762321	24.1669332	3.068519874	472	948	1.00E-04	0.013277778	59	DEG	AT2G16430.2
POPTR_0008s13820.1	14.27925875	29.64087239	2.075799095	220	1120	0.0015	0.045379747	295	DEG	AT1G25220.1
POPTR_0019s01160.1	174.0433212	40.5197803	-4.295268135	11	53	0	0	11	DEG	AT5G36930.2
POPTR_0001s34580.1	553.2623448	2280.263632	4.121487127	882	4	0	0	12	DEG	AT4G18240.1
POPTR_0016s04960.1	118.7473914	249.5703338	2.101691084	1285	176	0.0013	0.041704698	263	DEG	AT3G57880.1
POPTR_0001s13380.1	13.47583315	34.5237196	2.561898712	2162	490	2.00E-04	0.01912	85	DEG	AT5G13180.1
POPTR_0002s07800.1	18.45049848	8.378602035	-2.202097487	218	1697	0.0011	0.044940171	289	DEG	AT1G21560.2
POPTR_0018s01140.2	900.7660634	2543.280058	2.823463451	46	16	2.00E-04	0.018745098	83	DEG	AT5G11300.1
POPTR_0006s23260.1	104.7211076	278.4447547	2.658917206	25	98	2.00E-04	0.018384615	82	DEG	AT2G37310.1
POPTR_0017s02410.1	13.33819277	5.23352829	-2.548604313	429	2459	6.00E-04	0.035407407	207	DEG	AT4G05320.4
POPTR_0006s23360.1	9.173692484	18.86211532	2.056109397	293	1853	0.0017	0.047520468	319	DEG	AT5G20885.1
POPTR_0003s03360.2	33.00826844	13.28267403	-2.485061996	1960	640	6.00E-04	0.03497561	201	DEG	AT4G17140.3
POPTR_0002s06230.1	10.22518813	34.95482176	3.418501578	70	474	1.00E-04	0.012578947	57	DEG	AT1G14290.1
POPTR_0006s11350.1	18.9692126	73.74201674	3.887457972	14	158	0	0	17	DEG	AT3G54200.1
POPTR_0002s04490.1	270.1812778	620.253796	2.295694953	681	99	0.0011	0.038101449	234	DEG	AT1G55190.1
POPTR_0009s15590.1	137.2146822	38.70745223	-3.544916399	1707	61	0	0	18	DEG	AT5G20950.1
POPTR_0017s01650.1	12.25967802	5.436979646	-2.254869214	62	2751	8.00E-04	0.039020408	242	DEG	AT4G25680.1
POPTR_0014s07850.1	48.51271612	19.07418677	-2.543370089	687	509	6.00E-04	0.034554217	197	DEG	AT4G00530.1
POPTR_0008s19830.1	38.48855426	158.5369398	4.119067158	700	57	0	0	19	DEG	AT1G59990.1
POPTR_0003s13810.1	24.27164478	114.6951058	4.725477275	112	87	0	0	20	DEG	AT1G64350.1
POPTR_0007s14290.1	15.34307775	6.800250489	-2.25625185	182	2064	9.00E-04	0.039833333	253	DEG	AT5G10480.1
POPTR_0008s14880.1	140.687099	296.2900279	2.106021306	1333	123	9.00E-04	0.03585	210	DEG	AT3G06030.1
POPTR_0004s17460.1	11.05618846	22.32072362	2.018844351	99	1517	0.0015	0.043719512	273	DEG	AT4G34850.1
