ProbeID	1 Avg_ctrl	1 Avg_treat	1 FoldChange	1 Rank_modT	1 Rank_WAD	1 RP_origPvalue	1 RP_correctedPvalue	1 Rank_RP	1 DEG	Homolog_GID	Description	Function	TAIR-annotation	AGI	Symbol	short_description
POPTR_0001s02190.1	20.14675117	49.02427911	2.433359041	53	499	4.0	0.025157895	129	DEG	AT4G17770.1	trehalose phosphatase/synthase 5	Encodes an enzyme putatively involved in trehalose biosynthesis. The protein has a trehalose synthase (TPS)-like domain that may or may not be active as well as a trehalose phosphatase (TPP)-like domain. Phosphorylated TPS5 extracted from Arabidopsis cells binds directly to 14-3-3 isoforms.	"trehalose phosphatase/synthase 5 (TPS5); FUNCTIONS IN: transferase activity, transferring glycosyl groups, trehalose-phosphatase activity; INVOLVED IN: trehalose biosynthetic process, metabolic process; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: HAD-superfamily hydrolase, subfamily IIB (InterPro:IPR006379), Glycosyl transferase, family 20 (InterPro:IPR001830), Trehalose-phosphatase (InterPro:IPR003337); BEST Arabidopsis thaliana protein match is: UDP-Glycosyltransferase / trehalose-phosphatase family protein (TAIR:AT1G68020.2); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink)."	AT4G17770	TPS5	trehalose phosphatase/synthase 
POPTR_0010s19910.1	118.9862679	32.2295445	-3.691838334	576	127	1.0	0.025157895	130	DEG	AT3G55830.1	Nucleotide-diphospho-sugar transferases superfamily protein	"A member of the Glycosyltransferase Family 64, homologous to Poplar cambium-expressed GT64 gene.  The EPC1 protein plays a critical role during plant development in maintaining the integrity of organs via cell-cell adhesion, thereby providing mechanical strength and facilitating the movement of metabolites throughout the plant."	"ECTOPICALLY PARTING CELLS (EPC1); CONTAINS InterPro DOMAIN/s: EXTL2, alpha-1,4-N-acetylhexosaminyltransferase (InterPro:IPR015338); BEST Arabidopsis thaliana protein match is: glycosyltransferase family protein 47 (TAIR:AT5G04500.1); Has 655 Blast hits to 655 proteins in 91 species: Archae - 0; Bacteria - 0; Metazoa - 500; Fungi - 8; Plants - 105; Viruses - 0; Other Eukaryotes - 42 (source: NCBI BLink)."	AT3G55830	EPC1	ECTOPICALLY PARTING CELL
POPTR_0003s21530.1	20.84778843	54.85272164	2.63110506	838	401	4.0	0.024831169	128	DEG	AT3G13670.1	Protein kinase family protein	---	"Protein kinase family protein; FUNCTIONS IN: protein serine/threonine kinase activity, protein kinase activity, kinase activity, ATP binding; INVOLVED IN: protein amino acid phosphorylation; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Protein kinase, ATP binding site (InterPro:IPR017441), Protein kinase, catalytic domain (InterPro:IPR000719), Serine/threonine-protein kinase-like domain (InterPro:IPR017442), Protein kinase-like domain (InterPro:IPR011009), Serine/threonine-protein kinase, active site (InterPro:IPR008271); BEST Arabidopsis thaliana protein match is: Protein kinase family protein (TAIR:AT2G25760.1); Has 17131 Blast hits to 17075 proteins in 1486 species: Archae - 12; Bacteria - 5943; Metazoa - 4767; Fungi - 1425; Plants - 2358; Viruses - 214; Other Eukaryotes - 2412 (source: NCBI BLink)."	---	---	--
POPTR_0011s15220.1	143.679413	323.7985339	2.253618156	391	133	9.0	0.036457627	214	DEG	AT2G45530.1	RING/U-box superfamily protein	---	"RING/U-box superfamily protein; FUNCTIONS IN: zinc ion binding; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Zinc finger, C3HC4 RING-type (InterPro:IPR018957), Zinc finger, RING-CH-type (InterPro:IPR011016); BEST Arabidopsis thaliana protein match is: RING/U-box superfamily protein (TAIR:AT5G60580.4); Has 964 Blast hits to 960 proteins in 87 species: Archae - 0; Bacteria - 0; Metazoa - 324; Fungi - 6; Plants - 589; Viruses - 3; Other Eukaryotes - 42 (source: NCBI BLink)."	---	---	--
POPTR_0005s11100.1	54.36658497	230.9121013	4.247316646	338	31	0	0	2	DEG	AT4G35100.2	plasma membrane intrinsic protein 3	a member of the plasma membrane intrinsic protein PIP. functions as aquaporin. Salt-stress-inducible MIP	"plasma membrane intrinsic protein 3 (PIP3); CONTAINS InterPro DOMAIN/s: Major intrinsic protein, conserved site (InterPro:IPR022357), Aquaporin (InterPro:IPR012269), Major intrinsic protein (InterPro:IPR000425); BEST Arabidopsis thaliana protein match is: plasma membrane intrinsic protein 2;8 (TAIR:AT2G16850.1)."	AT4G35100	SIMIP	--
POPTR_0060s00250.1	106.5734196	241.3581904	2.264712827	1161	186	0.0	0.045961538	302	DEG	AT4G27220.1	NB-ARC domain-containing disease resistance protein	---	"NB-ARC domain-containing disease resistance protein; FUNCTIONS IN: ATP binding; INVOLVED IN: defense response, apoptosis; CONTAINS InterPro DOMAIN/s: NB-ARC (InterPro:IPR002182), Leucine-rich repeat (InterPro:IPR001611), Disease resistance protein (InterPro:IPR000767); BEST Arabidopsis thaliana protein match is: NB-ARC domain-containing disease resistance protein (TAIR:AT4G27190.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink)."	---	---	--
POPTR_0002s13100.1	35.74571607	14.93175559	-2.39393927	276	759	8.0	0.040680851	259	DEG	AT1G47655.1	Dof-type zinc finger DNA-binding family protein	---	"Dof-type zinc finger DNA-binding family protein; CONTAINS InterPro DOMAIN/s: Zinc finger, Dof-type (InterPro:IPR003851); BEST Arabidopsis thaliana protein match is: Dof-type zinc finger DNA-binding family protein (TAIR:AT5G66940.1); Has 1094 Blast hits to 1089 proteins in 56 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 1089; Viruses - 0; Other Eukaryotes - 5 (source: NCBI BLink)."	---	---	--
POPTR_0008s01950.1	324.1254403	98.551466	-3.288895167	10	48	1.0	0.022761905	110	DEG	AT3G52060.1	"Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein"	---	"Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Core-2/I-Branching enzyme (InterPro:IPR021141); BEST Arabidopsis thaliana protein match is: Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein (TAIR:AT5G22070.1); Has 568 Blast hits to 568 proteins in 19 species: Archae - 0; Bacteria - 2; Metazoa - 0; Fungi - 0; Plants - 545; Viruses - 0; Other Eukaryotes - 21 (source: NCBI BLink)."	---	---	--
POPTR_0017s14530.1	7.180356538	16.21291754	2.257954386	968	2077	0.0	0.039533835	249	DEG	AT3G30390.2	Transmembrane amino acid transporter family protein	Encodes a putative amino acid transporter.	"Transmembrane amino acid transporter family protein; FUNCTIONS IN: amino acid transmembrane transporter activity; INVOLVED IN: amino acid transport; LOCATED IN: plasma membrane, vacuole, membrane; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Amino acid transporter, transmembrane (InterPro:IPR013057); BEST Arabidopsis thaliana protein match is: Transmembrane amino acid transporter family protein (TAIR:AT5G38820.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink)."	---	---	--
POPTR_0016s08790.1	60.49961916	26.35744505	-2.295352188	57	478	8.0	0.040252632	257	DEG	AT5G03070.1	importin alpha isoform 9	Putative importin alpha isoform. When overexpressed can rescue the impa-4 decreased transformation susceptibility phenotype.	"importin alpha isoform 9 (IMPA-9); FUNCTIONS IN: binding; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Armadillo-like helical (InterPro:IPR011989), Armadillo (InterPro:IPR000225), Armadillo-type fold (InterPro:IPR016024); BEST Arabidopsis thaliana protein match is: importin alpha isoform 6 (TAIR:AT1G02690.2); Has 2139 Blast hits to 1862 proteins in 255 species: Archae - 0; Bacteria - 2; Metazoa - 1001; Fungi - 275; Plants - 485; Viruses - 0; Other Eukaryotes - 376 (source: NCBI BLink)."	AT5G03070	IMPA-9	importin alpha isoform 
